key,type,encoding,value
SPN526,data,string,Transmission Actual Gear Ratio
SPN527,data,string,Cruise Control States
SPN528,data,string,Engine Speed At Point 2
SPN529,data,string,Engine Speed At Point 3
SPN530,data,string,Engine Speed At Point 4
SPN531,data,string,Engine Speed At Point 5
SPN532,data,string,Engine Speed At High Idle, Point 6
SPN533,data,string,Engine Maximum Momentary Override Speed, Point 7
SPN534,data,string,Engine Maximum Momentary Override Time Limit
SPN535,data,string,Engine Requested Speed Control Range Lower Limit
SPN536,data,string,Engine Requested Speed Control Range Upper Limit
SPN537,data,string,Engine Requested Torque Control Range Lower Limit
SPN538,data,string,Engine Requested Torque Control Range Upper Limit
SPN539,data,string,Engine Percent Torque At Idle, Point 1
SPN540,data,string,Engine Percent Torque At Point 2
SPN541,data,string,Engine Percent Torque At Point 3
SPN542,data,string,Engine Percent Torque At Point 4
SPN543,data,string,Engine Percent Torque At Point 5
SPN544,data,string,Engine Reference Torque
SPN545,data,string,Engine Gain (Kp) Of The Endspeed Governor
SPN546,data,string,Retarder Speed At Idle, Point 1
SPN547,data,string,Retarder Speed At Peak Torque, Point 5
SPN548,data,string,Maximum Retarder Speed, Point 2
SPN549,data,string,Retarder Speed At Point 3
SPN550,data,string,Retarder Speed At Point 4
SPN551,data,string,Retarder Percent Torque At Idle, Point 1
SPN552,data,string,Retarder Percent Torque At Maximum Speed, Point 2
SPN553,data,string,Retarder Percent Torque At Point 3
SPN554,data,string,Retarder Percent Torque At Point 4
SPN555,data,string,Retarder Percent Torque At Peak Torque, Point 5
SPN556,data,string,Retarder Reference Torque
SPN557,data,string,Retarder Control Method
SPN558,data,string,Accelerator Pedal 1 Low Idle Switch
SPN559,data,string,Accelerator Pedal Kickdown Switch
SPN560,data,string,Transmission Driveline Engaged
SPN561,data,string,ASR Engine Control Active
SPN562,data,string,ASR Brake Control Active
SPN563,data,string,Anti  Lock Braking (ABS) Active
SPN564,data,string,Differential Lock State    Central
SPN565,data,string,Differential Lock State    Central Front
SPN566,data,string,Differential Lock State    Central Rear
SPN567,data,string,Differential Lock State    Front Axle 1
SPN568,data,string,Differential Lock State    Front Axle 2
SPN569,data,string,Differential Lock State    Rear Axle 1
SPN570,data,string,Differential Lock State    Rear Axle 2
SPN571,data,string,Retarder Enable    Brake Assist Switch
SPN572,data,string,Retarder Enable    Shift Assist Switch
SPN573,data,string,Transmission Torque Converter Lockup Engaged
SPN574,data,string,Transmission Shift In Process
SPN575,data,string,ABS Off  road Switch
SPN576,data,string,ASR Off  road Switch
SPN577,data,string,ASR « Hill Holder » Switch
SPN578,data,string,Drive Axle Temperature
SPN579,data,string,Drive Axle Lift Air Pressure
SPN580,data,string,Altitude
SPN581,data,string,Transmission Gear Ratio
SPN582,data,string,Axle Weight
SPN583,data,string,Pitch
SPN584,data,string,Latitude
SPN585,data,string,Longitude
SPN586,data,string,Make
SPN587,data,string,Model
SPN588,data,string,Serial Number
SPN589,data,string,Alternator Speed
SPN590,data,string,Engine Idle Shutdown Timer State
SPN591,data,string,Engine Idle Shutdown Timer Function
SPN592,data,string,Engine Idle Shutdown Timer Override
SPN593,data,string,Engine Idle Shutdown has Shutdown Engine
SPN594,data,string,Engine Idle Shutdown Driver Alert Mode
SPN595,data,string,Cruise Control Active
SPN596,data,string,Cruise Control Enable Switch
SPN597,data,string,Brake Switch
SPN598,data,string,Clutch Switch
SPN599,data,string,Cruise Control Set Switch
SPN600,data,string,Cruise Control Coast (Decelerate) Switch
SPN601,data,string,Cruise Control Resume Switch
SPN602,data,string,Cruise Control Accelerate Switch
SPN603,data,string,Brake Pedal Switch 2
SPN604,data,string,Transmission Neutral Switch
SPN605,data,string,Refrigerant High Pressure Switch
SPN606,data,string,Engine Momentary Overspeed Enable
SPN607,data,string,Progressive Shift Disable
SPN608,data,string,J1587
SPN609,data,string,Controller #2
SPN610,data,string,Power Connect Device
SPN611,data,string,System Diagnostic Code #1
SPN612,data,string,System Diagnostic Code #2
SPN613,data,string,System Diagnostic Code #3
SPN614,data,string,System Diagnostic Code #4
SPN615,data,string,System Diagnostic Code #5
SPN616,data,string,Auxiliary Analog Input #1
